Job Title,Job URL,Job ID,Company Name,Job Location,Work Mode,Job Post Date
Senior Data Analyst,https://ca.indeed.com/rc/clk?jk=19e173d431ebec21&bb=Bm5kFgTrtC0WcCTZmUfhZZYGQAKXpZFB7Ve2KP9N5g4qKgIQL_gjN_Zo1fB6E_0hUma1H39rl3svoONuInJdc7HO2qZtOaUSro8oA7IzjuI%3D&xkcb=SoBF67M3DfbaAjwk4h0MbzkdCdPP&fccid=617d7f961cfcf54a&vjs=3,job_19e173d431ebec21,Electronic Arts,"Toronto, ON",,9 days
Underwriting Analyst,https://ca.indeed.com/rc/clk?jk=339fce8272b5a9e1&bb=Bm5kFgTrtC0WcCTZmUfhZb7iYJd4ERznoS2FrTqakCFnmnfg-_SbAW_T2xEa1Gjgi32KOuh7zIYGsvHghhG3zfb2-HVdCut_50ZbKpvcH5w2uo_eNpxhCA%3D%3D&xkcb=SoCs67M3DfbaAjwk4h0DbzkdCdPP&fccid=f3a36f726f745c17&vjs=3,job_339fce8272b5a9e1,Faire,"Toronto, ON",Remote,9 days
"Analyst, Underwriting",https://ca.indeed.com/rc/clk?jk=9ea8235655731664&bb=Bm5kFgTrtC0WcCTZmUfhZf-Bim4bUHjlQl_TjwAbDmvJppMfWCUzlj5AsxJ7PcVcvkx8DvnC9R-bXe06lLB19_CGssr9XBqIeRfIkChBJoM%3D&xkcb=SoAY67M3DfbaAjwk4h0CbzkdCdPP&fccid=d4448c192a012f32&vjs=3,job_9ea8235655731664,Munich Reinsurance Company of Canada,"Toronto, ON",Hybrid remote,9 days
"Data Product Analyst, Enterprise Data & Analytics",https://ca.indeed.com/rc/clk?jk=2b48e201c4015374&bb=Bm5kFgTrtC0WcCTZmUfhZWDA7qm_GE3NpJIAHaV_DuqvGrFjQTbRS8dK5emv-ugVjCRwOg3WLABPI2DMDO8IWv-yUIRNkzYV5rp5ZfGo5-osX1-YOEP2og%3D%3D&xkcb=SoCF67M3DfbaAjwk4h0BbzkdCdPP&fccid=4c0dd9bbeab79d21&vjs=3,job_2b48e201c4015374,QuadReal,"Toronto, ON",,9 days
Data Operations Analyst,https://ca.indeed.com/rc/clk?jk=e660ff1108327392&bb=Bm5kFgTrtC0WcCTZmUfhZVWFocaHntibG_T3QKLEPQAA6MixtLXh36XuNTQkNIBf7ZTP-4oy8_nrre6FxEM0-KeckWIK2pcZ4jKrO_KHm_mpmEO7fwR46Q%3D%3D&xkcb=SoAx67M3DfbaAjwk4h0AbzkdCdPP&fccid=3b9c62618b403cf6&vjs=3,job_e660ff1108327392,Varicent,"Toronto, ON",,9 days
Data Analyst,https://ca.indeed.com/rc/clk?jk=44dede4b4ef256bb&bb=Bm5kFgTrtC0WcCTZmUfhZYfRU5p9DowEL7_rsS5VgTWWTmuTVLv-9usupZbBUULWOKdzy_61OrnsOruLW5hDrin24lsurJI9VzDmZwNdJNlYNhght28FVA%3D%3D&xkcb=SoC_67M3DfbaAjwk4h0HbzkdCdPP&fccid=8e2425af218ecb5b&vjs=3,job_44dede4b4ef256bb,Relay Financial,"Toronto, ON",Hybrid remote,9 days
"Senior Data Analyst, Investment Finance & Valuations",https://ca.indeed.com/rc/clk?jk=f4bb479ea94ebfdf&bb=Bm5kFgTrtC0WcCTZmUfhZbzucAlFfT5iDkschPy2Bd_JrtEwhC0GJY9yeiFfpLoznnYoLFOdZv8b1u9v2JCr-NU4-IUcIFsOBTMZmQYADmGLfYLlFfG7wg%3D%3D&xkcb=SoAL67M3DfbaAjwk4h0GbzkdCdPP&fccid=64d182c6fc449d3a&vjs=3,job_f4bb479ea94ebfdf,OMERS,"Toronto, ON",,9 days
database analyst,https://ca.indeed.com/rc/clk?jk=d0eb2814ee17030e&bb=Bm5kFgTrtC0WcCTZmUfhZRFWP0jZgs9Obg7YCs5J2O94_hXX174vRkpTnLhfBGBLMPEO8CX57SzHoiU5d2R-0OocQ0_5R6Qpq2UmYm3QjWE%3D&xkcb=SoCW67M3DfbaAjwk4h0FbzkdCdPP&fccid=c97593bfa7f438ac&vjs=3,job_d0eb2814ee17030e,Thousandeals Inc.,"Scarborough, ON",,9 days
Markets Analyst,https://ca.indeed.com/rc/clk?jk=e4dd2f6233a632e1&bb=kDYtipcXJRLXm_IkVBWc5pHEZIKMGbu0f0tKVFZKduMxKV7ZwwWdWy06O3h0fGgRDVStcGhrQPCilk2wgRaf3T0Zmts8deDnqsoRgEGt5atZwao622cMIg%3D%3D&xkcb=SoDg67M3DfbRWIQVW51cbzkdCdPP&fccid=7bbcdc23e9b092b7&vjs=3,job_e4dd2f6233a632e1,Ontario Power Generation,"Toronto, ON",Hybrid remote,1 day
Senior Business Intelligence Analyst,https://ca.indeed.com/rc/clk?jk=9cf96849651c0039&bb=kDYtipcXJRLXm_IkVBWc5tgvkm6BydOCM3QJRudID2XbY36ZiA-K-Vzn_uPOLD5rlQ4E1xYGo3wL8GaRTM4hffCF3Qn4TB_BYNAbzIKZH0FPQGGQjQ__Dg%3D%3D&xkcb=SoAJ67M3DfbRWIQVW51TbzkdCdPP&fccid=c9b9e477b3c84b4d&vjs=3,job_9cf96849651c0039,CBRE,"Toronto, ON",,1 day
"Analyst, Strategy & Business Development",https://ca.indeed.com/rc/clk?jk=e722f54f6b59ca3d&bb=kDYtipcXJRLXm_IkVBWc5pWzEPFWi_HQUw3R6thncNvsKRUr_04lOz7U-APaZTaqspLDidWnUSP0FdfNP7P0fwborqbZVW3lu8ppnRPRkS-VH4vE6CeQ3w%3D%3D&xkcb=SoC967M3DfbRWIQVW51SbzkdCdPP&fccid=113aaa3832064b31&vjs=3,job_e722f54f6b59ca3d,Hudson's Bay,"Toronto, ON",Hybrid remote,1 day
Sourcing Analyst,https://ca.indeed.com/rc/clk?jk=d5b09ab94763cef9&bb=kDYtipcXJRLXm_IkVBWc5hNqbTyjyqU1tIdX22J8AsO6eJ-BgN3J13sqNxhyi7Vi_epkNmK8smzgdh0Vmznd_9RbZoAh014xRL_t8S9AlZf6CRMWJjRIVw%3D%3D&xkcb=SoAg67M3DfbRWIQVW51RbzkdCdPP&fccid=84c23fbcabc14d59&vjs=3,job_d5b09ab94763cef9,BGIS,"Markham, ON",,1 day
"Associate, Business Analyst - New Grad 2024",https://ca.indeed.com/rc/clk?jk=65471aa62ec86a40&bb=kDYtipcXJRLXm_IkVBWc5jnFnntth-mIUdBV2iB0hMHloJIVB5Wnd0RwmT_xeuBswpiWuAj3KWgaIK1pM8tv_PMVKbBwNI9OO2XHW9MMpWw%3D&xkcb=SoCU67M3DfbRWIQVW51QbzkdCdPP&fccid=b85c5070c3d3d8c8&vjs=3,job_65471aa62ec86a40,Capital One,"Toronto, ON",Hybrid remote,1 day
Data Quality Analyst,https://ca.indeed.com/rc/clk?jk=26151e88c37b98ea&bb=kDYtipcXJRLXm_IkVBWc5iMdhElCHoH3JAtrg3LLw9cFH2Gybt04iRc7caT4XgiXNdtVA7uNRC_dJrNSlMKnEDABz4P5ReU1RVc-VfvXJGRu18NPdezVxg%3D%3D&xkcb=SoAa67M3DfbRWIQVW51XbzkdCdPP&fccid=2cec2a0193a3674a&vjs=3,job_26151e88c37b98ea,Brambles Group,"Mississauga, ON",Hybrid remote,1 day
Registry Data Analyst Trauma Registry Office,https://ca.indeed.com/rc/clk?jk=6e9cf2d4cc71e4fd&bb=kDYtipcXJRLXm_IkVBWc5iqvqz0Sj1Ddqq6bmft-P76axzfzgVZN-TOoEkqSAGTJfLmChf4FYX0bovhXSOcgoSWaWf_bfwI-Cjt1HaiZvg0tSLlR0BQAQA%3D%3D&xkcb=SoCu67M3DfbRWIQVW51WbzkdCdPP&fccid=8e32d72489a91f47&vjs=3,job_6e9cf2d4cc71e4fd,Unity Health Toronto,"Toronto, ON",,1 day
Transport Project Analyst,https://ca.indeed.com/rc/clk?jk=bf07ad45ebb470c3&bb=kDYtipcXJRLXm_IkVBWc5sJ6dHx7EUhN_05ZgmvR7-fqdlw2ElTSRBd_RqpoAFrKeaTerz_cQtnP5pW_lZeD3aA984IA1AXFftZWwZ3McJs%3D&xkcb=SoAz67M3DfbRWIQVW51VbzkdCdPP&fccid=a7c5036618407010&vjs=3,job_bf07ad45ebb470c3,McKesson,"Mississauga, ON",,1 day
Sr. Business Systems Analyst (Market Data Services),https://ca.indeed.com/rc/clk?jk=48d4405535a8f637&bb=kDYtipcXJRLXm_IkVBWc5nslnHnTaAgGc-XGGhBYxGObl0t3IXyZYMmiXKM4WU1qC_tDCOCbEeaBEo0PbCQDRo-1cTTcxFJzORtGwlBMdM4%3D&xkcb=SoCH67M3DfbRWIQVW51UbzkdCdPP&fccid=f99648405c7e9e3a&vjs=3,job_48d4405535a8f637,CIBC,"Toronto, ON",Hybrid remote,1 day
"Analyst, Global Merchandise",https://ca.indeed.com/rc/clk?jk=d8f7fdea12f43dfc&bb=kDYtipcXJRLXm_IkVBWc5gSVcKMLSYmWZMrdYOYtMoq2r0SZFIhlkU6MabazpmHFwezIcmu6Qus6QD4AiVtGe6vJfJmM3FdR7l2Cbzp-a75I1Lrb1bGdjA%3D%3D&xkcb=SoA867M3DfbRWIQVW51rbzkdCdPP&fccid=9cfe635d4940df97&vjs=3,job_d8f7fdea12f43dfc,Circle K,"Toronto, ON",,1 day
Analyst Pricing Strategy,https://ca.indeed.com/rc/clk?jk=f36b6ae17b9f4f9d&bb=kDYtipcXJRLXm_IkVBWc5j8YhG67ubPylXRnivhyNVdoXnnFpMbdUtErswJmvIH3x1uaHKziy7msl16_pVWH-OSyySu1U7AiOwzhTtzaMp_Doieye7JaKQ%3D%3D&xkcb=SoCI67M3DfbRWIQVW51qbzkdCdPP&fccid=2b30af762655480b&vjs=3,job_f36b6ae17b9f4f9d,Sobeys,"Mississauga, ON",,1 day
Amended - Senior Business Analyst Project Leader,https://ca.indeed.com/rc/clk?jk=4fe4437cf1a3627f&bb=kDYtipcXJRLXm_IkVBWc5vZpbgqxPJNvKux_iOlZOT_e_yrCGdZ2xhiIcJNs58HOzv4pateT0-9P4Zt3WyXl-kNPUTU4_nPh2A98SaOWzKU%3D&xkcb=SoAV67M3DfbRWIQVW51pbzkdCdPP&fccid=6147701bd14f2451&vjs=3,job_4fe4437cf1a3627f,Ministry of Health,"Toronto, ON",,1 day
